game_str,play_id,at_bat,play_per_game,end_time,player_position,event_code,almost_caught,start_time,player_position_hit,inning,game_state,player_id,field_x,field_y,handedness,ball_position_x,ball_position_y,ball_position_z,exit_velocity,launch_angle,field_end_x,field_end_y,actual_distance,max_speed,mean_speed,p1_x,p1_y,p2_x,p2_y,initial_angle,angle_error,straight_line,route_efficiency,max_player_speed,actual_time,league,handedness_encode
1883_001_Vis1AB_Home1A,2,1.0,2,73273,CF,Fielded,0,67773,BA,1,000,594.0,-5.6358,308.5794,R,-16.98135,329.472,4.78737,82.100106134084,34.34124219235527,-18.0411,328.0791,41.72895188553526,24.000818986028047,6.840811784513998,-11.2935,336.8631,-6.1593,309.183,209.31379476714463,3.440282576620092,23.111247655200238,0.5538420355870817,18.968680839068025,5.5,Home1A,1
1883_001_Vis1AB_Home1A,4,2.0,4,119873,LF,Fielded,0,114723,BA,1,000,492.0,-125.0325,241.4478,L,-133.041,182.3649,4.71825,71.30544146971754,46.82617014005077,-131.9796,178.281,72.26676871944247,17.12189755839074,11.944920449494607,-135.0942,236.0112,-135.3561,235.4874,278.70240682968745,74.29507822915917,63.54767360533349,0.8793484852220436,18.278859074000547,5.15,Home1A,0
1883_001_Vis1AB_Home1A,49,12.0,49,1624623,CF,Fielded,0,1621073,BA,2,000,,-1.0332,311.2104,L,29.13606,260.802,2.199318,68.55709815706632,22.26933085551691,30.5283,244.6044,88.64719920719622,37.68489235758264,15.416904209946882,12.0057,307.9278,-1.0332,311.2104,104.99471999625175,79.66492982459548,73.70541037298415,0.8314465773556089,12.877761,3.55,Home1A,0
1883_001_Vis1AB_Home1A,52,13.0,52,1704123,LF,Fielded,0,1700073,BA,2,000,,-131.7357,266.6529,R,-89.3607,302.469,3.87144,88.44038976675671,21.58686833072793,-86.8119,308.9538,64.03020667299207,19.697576906835558,11.857445680183746,-132.0213,267.6108,-100.2351,302.5827,154.55472100477425,20.769191491108415,61.7050560914582,0.9636866613064577,12.877761,4.05,Home1A,1
1883_001_Vis1AB_Home1A,66,16.0,66,2067123,RF,Fielded,0,2062623,BA,3,000,537.0,126.2733,231.2652,R,100.1898,313.698,6.41826,93.98690886851946,25.099580558236354,96.4707,330.6606,105.2338065832231,27.92694956504418,18.625452492606332,122.1582,239.5527,123.0444,236.5404,222.5151384543525,25.73100453732502,103.76724197895982,0.9860637503110422,18.625452492606332,4.5,Home1A,1
1883_001_Vis1AB_Home1A,82,20.0,82,2554773,CF,Fielded,0,2551623,BA,3,000,,-2.2095,289.0509,L,41.1819,309.828,4.54266,102.937943689551,15.322556037892943,52.2318,319.5942,79.93246365751028,29.03864253015064,9.868205389815353,56.8527,321.141,7.3584,285.2301,47.281819555932316,71.69303517946923,62.42394028399681,0.7809585420945747,12.877761,3.15,Home1A,0
1883_001_Vis1AB_Home1A,101,25.0,101,3132023,RF,Fielded,0,3127173,BA,4,000,537.0,111.7743,245.8377,R,146.6709,306.789,5.07279,95.53927417629139,28.498489899832435,152.0055,307.5513,80.43334437186658,28.792289592770732,13.988407716846298,110.7399,250.6386,140.4732,305.2038,207.00393783982463,60.11831059769736,73.66897500576484,0.915900931150791,18.625452492606332,4.85,Home1A,1
1883_001_Vis1AB_Home1A,111,27.0,111,3488823,RF,Fielded,0,3483173,BA,4,000,,142.2234,258.2655,R,181.1124,238.9065,4.3284,93.4893412570499,42.8698787586574,185.8461,240.7986,53.63794966883547,15.428431547068897,8.315961188966941,150.3264,262.7169,181.8114,240.9684,157.82394179431503,88.69853913114366,46.989706861183976,0.8760533754795211,12.877761,5.65,Home1A,1
1883_001_Vis1AB_Home1A,115,29.0,115,3618073,LF,Fielded,0,3612323,BA,4,000,,-127.3788,264.6129,R,-117.5064,329.511,4.97073,84.1440689467419,29.119407303500793,-118.5996,332.4123,75.06876864369754,26.286745709482098,12.107865910273485,-122.6862,329.9553,-127.8825,264.9192,167.56051053087475,5.361732762010206,68.365437122862,0.9107041231400521,12.877761,5.75,Home1A,1
1883_001_Vis1AB_Home1A,127,32.0,127,3982323,LF,Fielded,0,3978723,BA,5,000,492.0,-121.4463,240.9885,L,-121.3062,266.5473,4.4922,72.94734392558223,25.216304996806134,-121.4946,267.2511,34.894484709825505,22.534253127306926,8.408309568633744,-121.3422,238.0176,-123.4536,258.8178,18.807985028469773,158.42193333716028,26.262644414643418,0.7526302403671388,18.278859074000547,3.6,Home1A,0
